signature_id	signature_name	gene_symbol	gene_symbol_clean	source_reference
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ENO2	ENO2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FAP	FAP	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FAS	FAS	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FBLN1	FBLN1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FBLN2	FBLN2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FBLN5	FBLN5	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FBN1	FBN1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FBN2	FBN2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FERMT2	FERMT2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FGF2	FGF2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FLNA	FLNA	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FMOD	FMOD	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FN1	FN1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FOXC2	FOXC2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FSTL1	FSTL1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FSTL3	FSTL3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FUCA1	FUCA1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	FZD8	FZD8	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	GADD45A	GADD45A	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	GADD45B	GADD45B	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	GAS1	GAS1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	GEM	GEM	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	GJA1	GJA1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	GLIPR1	GLIPR1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	GPC1	GPC1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	GPX7	GPX7	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	GREM1	GREM1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	HTRA1	HTRA1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ID2	ID2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	IGFBP2	IGFBP2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	IGFBP3	IGFBP3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	IGFBP4	IGFBP4	MSigDB Hallmark EMT
