residual_mode	eigenvalue	permutation_eigenvalue_95	bootstrap_loading_cosine_ci_low	loo_loading_cosine_min
1	12.212582544455158	5.473466686570196	0.4432919740756642	0.9245796824853476
2	8.973561928001653	4.9024610834749325	0.3065593730941722	0.7594077951375491
3	7.610429245721637	4.580535071646443	0.3441447639840819	0.6813787429559548
4	7.104246447495264	4.330817008963402	0.1977678747984605	0.6199845669621856
5	6.047842484538888	4.149917599304273	0.1930342849837841	0.5185922028040976
6	5.46057435786273	3.967138941652447	0.1820554843707218	0.622126833982731
7	4.964226729958681	3.7973923842668618	0.2431156999449464	0.6552892341928963
8	4.804286588239264	3.643195621093325	0.2505619220397304	0.6991885349394795
9	3.5485477846885742	3.520954891945219	0.0985392283897488	0.2086160363473057
10	3.1147473542094235	3.393840316102825	0.0548161328802541	0.162033501406666
