dataset	claim	state_definition	n_classes	measurement_n	patient_or_tumor_n	evaluable_representation_n	association_summary	chance_level	median_balanced_accuracy	median_chance_adjusted_BA	BA_at_least_0_60_n	above_null_n	held_out_unit	measurement_flow	null_or_reference	interpretation_boundary
Ivy GAP	ALL5	Leading edge; infiltrating tumor; cellular tumor; pseudopalisading cells around necrosis; microvascular proliferation	5	122	10	201	Median partial R² 0.404; 195/201 BH q < 0.05	0.2	0.3500526315789473	0.18756578947368407	2	170	Leave-one-tumor-out	122 wells → 47 specimens → 10 tumors	Frozen tumor-blocked permutation; branchwise BH q < 0.05	Anatomy association is distinct from unique-state resolution.
Ivy GAP	CORE3	Core tumor anatomy: CT, PAN, MVP	3	79	10	201	—	0.3333333333333333	0.4744444444444444	0.2116666666666666	28	134	Leave-one-tumor-out	122 wells → 47 specimens → 10 tumors (79 CORE3 wells)	Frozen tumor-blocked permutation; branchwise BH q < 0.05	Anatomy association is distinct from unique-state resolution.
Ivy GAP	PAN-MVP	Pseudopalisading cells around necrosis versus microvascular proliferation	2	49	10	201	—	0.5	0.6541666666666667	0.30833333333333335	135	117	Leave-one-tumor-out	122 wells → 47 specimens → 10 tumors (49 PAN-MVP wells)	Frozen tumor-blocked permutation; branchwise BH q < 0.05	Anatomy association is distinct from unique-state resolution.
GeoMx	SOX2-IBA1	SOX2-enriched versus IBA1-enriched patient-time compartment	2	98	26	198	—	0.5	0.602040816327	0.20408163265400003	104	NOT_COMPUTED_IN_CURRENT_FREEZE	Five-fold patient-grouped	482 raw AOIs → 413 included AOIs → 98 patient-time-compartment aggregates → 26 patients; 201 → 198 representations	Nominal chance BA 0.50; no frozen permutation null	Patient-grouped CV; descriptive classification; AOIs not independent patients.
