check	passed
segment_ids	True
segment_scores	False
patient_ids	True
core_patient_region_scores	False
invasive_front_patient_region_scores	False
paired_differences	False
zero_pattern	True
support_nonzero	True
support_zero	True
minimum_attainable_p	True
alpha_reachable	True
observed_test_statistic	True
exact_p_value	True
detection	True
terminal_state	True
evidence_record_rds_verifies	True
evidence_record_json_verifies	True
evidence_record_identity	True
primary_execution_count_remains_one	True
