model_instance_id	publication_id
PF4C-FINAL-092	POST-PF4B0414
PF4C-FINAL-093	POST-PF4B0415
PF4C-FINAL-094	POST-PF4B0416
PF4C-FINAL-095	POST-PF4B0417
PF4C-FINAL-096	POST-PF4B0418
PF4C-FINAL-097	POST-PF4B0419
PF4C-FINAL-099	POST-PF4B0690
PF4C-FINAL-100	POST-PF4B0691
PF4C-FINAL-102	POST-PF4B0693
PF4C-FINAL-103	POST-PF4B0694
PF4C-FINAL-105	POST-PF4B0695
LEGACY-V001-M01	PRE-P41619094
LEGACY-V003-M01	PRE-P42073621
LEGACY-V004-M01	PRE-P39932605
LEGACY-V005-M01	PRE-P40155506
LEGACY-V006-M01	PRE-P40224547
LEGACY-V007-M01	PRE-P40226936
LEGACY-V009-M01	PRE-P40813603
LEGACY-V010-M01	PRE-P38339384
LEGACY-V011-M01	PRE-P39612412
LEGACY-V012-M01	PRE-P39697698
LEGACY-V013-M01	PRE-P39697739
LEGACY-V016-M01	PRE-P35203526
LEGACY-V017-M01	PRE-P35550147
LEGACY-V018-M01	PRE-P35873480
LEGACY-V019-M01	PRE-P36230961
LEGACY-V020-M01	PRE-P33790946
LEGACY-V021-M01	PRE-P34093788
LEGACY-V022-M01	PRE-P31897239
LEGACY-V024-M01	PRE-P30796273
LEGACY-V025-M01	PRE-P31097021
LEGACY-V026-M01	PRE-P31531345
LEGACY-V027-M01	PRE-P31632439
LEGACY-V028-M01	PRE-P31632497
LEGACY-V029-M01	PRE-P31844032
LEGACY-E001-M01	PRE-P41944918
LEGACY-E007-M01	PRE-P35982954
LEGACY-E011-M01	PRE-P34527446
LEGACY-E012-M01	PRE-P30333910
LEGACY-E014-M01	PRE-P27713134
LEGACY-E016-M01	PRE-P38159261
LEGACY-S001-M01	PRE-P001
LEGACY-S003-M01	PRE-P003
LEGACY-S005-M01	PRE-P005
LEGACY-S006-M01	PRE-P006
LEGACY-S007-M01	PRE-P007
LEGACY-S009-M01	PRE-P009
LEGACY-S012-M01	PRE-P012
