world_type	iteration	score_correlation_structure	PC1_variance_CGGA325	PC1_variance_CGGA693	absolute_PC1_equal_ecology_CGGA325	absolute_PC1_equal_ecology_CGGA693
RANDOM_MATCHED_PANEL	1	0.5457347964530176	0.1855679785030362	0.6309538518065934	0.1381278538812785	0.5683976868920708
RANDOM_MATCHED_PANEL	2	0.5252473709688396	0.1933144750450773	0.6516258160216782	0.2224484758731334	0.5200205778959102
RANDOM_MATCHED_PANEL	3	0.5136702015487061	0.2034335889865828	0.6409580389440134	0.317043070467728	0.5303762134766165
RANDOM_MATCHED_PANEL	4	0.5608314958434226	0.1926616126879912	0.6320428549395942	0.1053313587560163	0.5824973563119837
RANDOM_MATCHED_PANEL	5	0.5788211921924056	0.1750694555747196	0.642917206099808	0.2537331852400346	0.547305343584174
RANDOM_MATCHED_PANEL	6	0.5207381613841547	0.1760819108694716	0.6354203644858211	0.2065592990250524	0.646593691350615
RANDOM_MATCHED_PANEL	7	0.5428076702299486	0.1491317400853815	0.6458505780001862	0.2985005553498704	0.5804586203282937
RANDOM_MATCHED_PANEL	8	0.4929702289339254	0.1649847318969622	0.6282626395891951	0.1632111563618413	0.5513351815332438
RANDOM_MATCHED_PANEL	9	0.5493816603194223	0.1988003035141713	0.6410330143902586	0.1016290262865605	0.5788866977240466
RANDOM_MATCHED_PANEL	10	0.5711263894980096	0.2020776055930986	0.6339289123196916	0.2357151672220165	0.5393218821153314
RANDOM_MATCHED_PANEL	11	0.5344718135469961	0.1949520458256718	0.6420585128988417	0.2646242132543502	0.5469719054560004
RANDOM_MATCHED_PANEL	12	0.5184534349510104	0.1768326934788833	0.6551718450741325	0.3730717018388252	0.5504968228109787
RANDOM_MATCHED_PANEL	13	0.4856177490849339	0.1855006403523542	0.6405751638455526	0.3380538072318895	0.4476168700639248
RANDOM_MATCHED_PANEL	14	0.5195436941730551	0.1820288232640838	0.6433748106663952	0.3339503887449093	0.6069431345089408
RANDOM_MATCHED_PANEL	15	0.5659936613719722	0.1923129890352725	0.6275209519006344	0.183573984943848	0.5600522068840683
RANDOM_MATCHED_PANEL	16	0.5589182419018088	0.1963608567334647	0.6513998543106616	0.075897815623843	0.5852124953556831
RANDOM_MATCHED_PANEL	17	0.5457059279713395	0.2061849559109065	0.6400654966754727	0.2592249784030606	0.6056665428182191
RANDOM_MATCHED_PANEL	18	0.5254625475841981	0.1776290962637225	0.6388279342707234	0.3095458472170802	0.5087503691636419
RANDOM_MATCHED_PANEL	19	0.4800122216158974	0.203500240010251	0.6460476762335656	0.2621868443786253	0.5241075766669525
RANDOM_MATCHED_PANEL	20	0.5904612047821028	0.1967471737226398	0.6467650914776554	0.2515426385289399	0.557889622452771
RANDOM_MATCHED_PANEL	21	0.5246942837182824	0.1971715186319848	0.6387613554812404	0.2074231766012588	0.5378547543513675
RANDOM_MATCHED_PANEL	22	0.5162153353214836	0.1661353382368405	0.6375975702965078	0.1242441071208194	0.6417254946792801
RANDOM_MATCHED_PANEL	23	0.534357183657865	0.1946923887774886	0.625510702788519	0.2276008885597927	0.6595596711347376
RANDOM_MATCHED_PANEL	24	0.5441107118907128	0.1773243896554726	0.6449862396021159	0.0999321239047266	0.5896805662732096
RANDOM_MATCHED_PANEL	25	0.5563862356729312	0.220672464358751	0.6445080826909821	0.2232197951376034	0.4461878495146092
RANDOM_MATCHED_PANEL	26	0.555543238675662	0.1913851961663438	0.6469687655956295	0.1501295816364309	0.521211428353673
RANDOM_MATCHED_PANEL	27	0.5228344175552669	0.1977186404810975	0.6570460114768351	0.2476551894360113	0.4957748625758571
RANDOM_MATCHED_PANEL	28	0.5288157237469475	0.2015784595328631	0.6404074103953308	0.2776132296680242	0.5698362342450485
RANDOM_MATCHED_PANEL	29	0.5478575813340341	0.1966576302917594	0.6327742275838429	0.0129273108725163	0.62659693046386
RANDOM_MATCHED_PANEL	30	0.4969776554134194	0.1993933742861038	0.6445856526211996	0.1770640503517216	0.6088294416340373
RANDOM_MATCHED_PANEL	31	0.5366829213980554	0.1884003439067181	0.6517346210130676	0.2598420338146365	0.6121542961121114
RANDOM_MATCHED_PANEL	32	0.5438143515440907	0.193281377154267	0.6435518318107232	0.2061890657781069	0.5491630702982843
RANDOM_MATCHED_PANEL	33	0.520056360608986	0.2022265674547144	0.6474469991873868	0.2176354436628409	0.4965751140834737
RANDOM_MATCHED_PANEL	34	0.5495526977107137	0.1803762499879896	0.6412407682298502	0.1723435764531655	0.693627521030419
RANDOM_MATCHED_PANEL	35	0.5379827601653594	0.1820287795818743	0.6379180642533782	0.2177588547451561	0.5593186430020863
RANDOM_MATCHED_PANEL	36	0.5148556142912323	0.1877870647649719	0.6353689473262772	0.0883931877082562	0.5902426476892737
RANDOM_MATCHED_PANEL	37	0.4886582627547874	0.193127747294597	0.6468380036558212	0.1854251511785758	0.5536406680194726
RANDOM_MATCHED_PANEL	38	0.4881438782917038	0.1884610384151595	0.6411048669861795	0.2685425151178576	0.5253841683576742
RANDOM_MATCHED_PANEL	39	0.538570730101594	0.2016338958140494	0.6517671389583903	0.2079785264716772	0.5411700820257795
RANDOM_MATCHED_PANEL	40	0.538158161588568	0.1750367944201602	0.6483743786019294	0.1266506232259657	0.5751331370811779
RANDOM_MATCHED_PANEL	41	0.5688335392747979	0.1631469974626554	0.6452366321415524	0.1289337282487967	0.6533386683433842
RANDOM_MATCHED_PANEL	42	0.5371501834406279	0.195575710448014	0.6394726249793563	0.3177835369616192	0.4796745643869025
RANDOM_MATCHED_PANEL	43	0.5451728772153973	0.1590149006334659	0.6433605137456591	0.2990559052202888	0.5941200567797498
RANDOM_MATCHED_PANEL	44	0.5370350410453855	0.1934368477568719	0.655428436809781	0.1505923731951129	0.5785818400068593
RANDOM_MATCHED_PANEL	45	0.5713444284350909	0.1789569169061975	0.6404255248727958	0.2199802542268296	0.5855364066801948
RANDOM_MATCHED_PANEL	46	0.5056579190193875	0.181046463376912	0.6603749738713975	0.197457731704307	0.5476673621233339
RANDOM_MATCHED_PANEL	47	0.5691123952058594	0.1926162253641659	0.6408995426685127	0.3278415401703073	0.590185486867301
RANDOM_MATCHED_PANEL	48	0.5571546847986834	0.1902764057067615	0.6460379992471856	0.1875231395779341	0.6774129011975192
