metric	value	null_expectation	status
model_median_IQR_low	-0.06260710410565001	UNVERIFIED; shared normalization/patient/model terms can induce positive association	DO_NOT_USE_IN_MAIN_TEXT
model_median_IQR_high	0.08486018124451247	UNVERIFIED; shared normalization/patient/model terms can induce positive association	DO_NOT_USE_IN_MAIN_TEXT
